country vir_prev vir_prev_CI vir_pop vir_pop_CI gen1a gen1b gen1c gen1_other gen2 gen3 gen4 gen5 gen6 gen_mixed_others
Vietnam 1·1% (0·6–1·2) 1066 (580–1116) 30·0% 17·1% 0 0 1·1% 1·1% 0 0 50·8% 0
Australasia
Australia 1·0% (0·7–1·0) 230 (178–244) 18·5% 15·7% 0 15·4% 5·6% 42·2% 1·3% 0 1·1% 0·2%
New-Zealand 1·0% (0·6–1·3) 48 (30–62) 44·0% 11·0% 0 0 7·0% 35·0% 0 0 1·0% 2·0%

Cuba 0·3% (0·1–0·7) 35 (14–77) 17·0% 81·0% 0 0 0 0 0 0 0 2·0%
Dominican-Republic 0·6% (0·4–1·0) 68 (42–108) 58·9% 19·4% 0 3·7% 9·6% 0·5% 0·2% 0 0 7·7%
Guadeloupe 0·3% (0·2–0·6) 1 (1–3) 0 0 0 80·0% 0 20·0% 0 0 0 0
Martinique · · · · 23·6% 56·7% 0·9% 0 6·9% 7·8% 3·6% 0·3% 0·3% 0
Suriname · · · · 0 0 0 0 100·0% 0 0 0 0 0

Albania · · · · 6·0% 50·0% 0 0 20·0% 8·0% 16·0% 0 0 0
Bosnia-and-Herzegovina · · · · 4·0% 69·3% 0 0 4·0% 21·3% 1·3% 0 0 0
Bulgaria 1·2% (0·7–1·6) 87 (46–122) 5·3% 72·3% 0 0 0 11·6% 0 0 0 10·8%
Croatia 0·6% (0·4–0·7) 26 (17–28) 13·1% 37·4% 0 8·3% 2·2% 35·6% 3·4% 0 0 0
Czech-Republic 0·4% (0·2–0·5) 43 (22–49) 13·2% 52·8% 0 0 0·5% 31·1% 2·4% 0 0 0
Hungary 0·5% (0·3–0·6) 52 (29–55) 9·1% 79·9% 0 1·6% 0·9% 6·7% 1·7% 0·1% 0 0
Macedonia · · · · 0 0 0 55·4% 0 44·6% 0 0 0 0
Montenegro · · · · 19·6% 35·0% 0 0 1·1% 24·7% 19·6% 0 0 0
Poland 0·5% (0·4–0·6) 184 (136–224) 2·0% 83·0% 0 0 0·1% 10·0% 4·9% 0 0 0
Romania 2·5% (1·8–2·6) 547 (397–566) 5·4% 92·6% 0 0 0 0·8% 1·2% 0 0 0
Serbia · · · · 0 0 0 57·9%% 3·7% 23·2% 6·7% 0 0 8·5%
Slovakia 0·6% (0·4–0·7) 33 (20–37) 0 0 0 89·9% 1·5% 6·6% 0·5% 0 0·5% 1·0%
Slovenia 0·3% (0·2–0·3) 6 (4–7) 6·9% 8·2% 0 53·0% 2·1% 29·3% 0·4% 0·1% 0 0

Belarus · · · · 5·0% 53·2% 0 0 2·5% 25·7% 13·6% 0 0 0
Estonia 1·4% (0·9–1·6) 18 (12–20) 1·0% 71·7% 0 0 3·0% 24·2% 0 0 0 0
Latvia 2·2% (1·4–2·6) 43 (28–50) 46·1% 4·3% 0 13·4% 3·6% 31·9% 0·7% 0 0 0
Lithuania 1·1% (0·7–1·3) 33 (20–39) 2·1% 69·3% 0 3·8% 5·6% 19·2% 0 0 0 0
Russia 3·3% (2·3–3·5) 4748 (3238–4960) 2·1% 52·8% 0 0 8·1% 36·3% 0·1% 0 0 0·6%
Ukraine · · · · 1·6% 42·1% 0 0 1·6% 28·8% 0·8% 0 0 25·1%

Austria 0·2% (0·1–0·4) 21 (6–30) 20·0% 52·0% 0 0 5·0% 19·0% 4·0% 0 0 0
Belgium 0·6% (0·2–0·7) 64 (23–75) 0 50·0% 0 9·0% 6·0% 19·0% 14·0% 2·0% 0 0
Denmark 0·3% (0·3–0·3) 19 (14–20) 34·0% 12·0% 0 0 8·0% 43·0% 3·0% 0 0 0
Finland 0·4% (0·3–0·5) 23 (16–26) 10·2% 11·6% 0 3·3% 11·4% 48·8% 0·9% 0·1% 0·1% 13·6%
France 0·3% (0·1–0·3) 194 (93–222) 14·8% 29·7% 0 15·3% 9·1% 19·7% 9·2% 2·0% 0·2% 0
Germany 0·3% (0·1–0·4) 205 (90–313) 25·0% 33·0% 0 4·0% 6·4% 27·4% 3·3% 0·2% 0·2% 0
Greece 1·1% (0·7–1·5) 132 (82–169) 11·5% 28·4% 0·2% 5·1% 7·0% 34·0% 13·9% 0 0 0
Iceland 0·3% (0·2–0·4) 1 (1–1) 41·1% 1·8% 0 0 0·8% 55·3% 1·0% 0 0 0
Ireland 0·6% (0·4–0·9) 30 (20–42) 42·0% 14·0% 0 0 4·0% 39·0% 1·0% 0 0 0
Israel 1·2% (0·7–1·3) 100 (60–103) 12·0% 57·0% 0 0 8·0% 20·0% 3·0% 0 0 0
Italy 1·1% (0·7–2·7) 680 (455–1641) 11·0% 44·0% 0 3·0% 15·0% 10·0% 7·0% 0 0 10·0%
Luxembourg 0·9% (0·6–1·0) 5 (3–6) 0 0 0 55·3% 4·3% 33·6% 6·4% 0 0 0
Malta 0·3% (0·2–0·4) 1 (1–2) 45·0% 15·0% 0 0 1·0% 37·0% 2·0% 0 0 0
Netherlands 0·1% (0·0–0·2) 16 (5–26) 14·8% 15·6% 0 18·8% 9·7% 29·3% 10·5% 0 0 1·3%
Norway 0·4% (0·3–0·5) 21 (15–24) 18·0% 18·0% 0 4·0% 9·0% 50·0% 1·0% 0 0 0
Portugal 0·8% (0·7–1·1) 89 (74–120) 42·7% 21·4% 0 4·0% 1·3% 17·9% 12·5% 0 0 0·2%
Spain 0·8% (0·3–1·2) 386 (159–557) 24·0% 53·5% 0 0 2·0% 8·2% 9·7% 0 0 2·5%
Sweden 0·4% (0·3–0·4) 38 (28–43) 40·0% 10·0% 0 0 20·0% 30·0% 0 0 0 0
Switzerland 1·0% (0·6–1·1) 78 (45–87) 26·0% 26·0% 0 0 8·5% 29·2% 10·3% 0 0 0
UK 0·3% (0·1–0·3) 189 (91–211) 24·4% 11·9% 0 8·8% 7·3% 43·8% 3·8% 0 0 0

Peru 0·5% (0·3–0·6) 167 (99–182) 74·0% 12·0% 0 0 2·0% 10·0% 0 0 0 2·0%

Colombia 0·8% (0·6–0·9) 409 (272–436) 5·7% 82·8% 0 0 8·5% 2·8% 0 0 0 0
Mexico 0·4% (0·3–0·5) 532 (304–557) 45·4% 24·9% 0 0 21·8% 7·2% 0·3% 0·1% 0 0
Panama 0·3% (0·2–0·3) 12 (7–14) ·· ·· ·· ·· ·· ·· ·· ·· ·· ··
Venezuela 0·4% (0·2–0·4) 118 (59–126) 37·0% 26·0% 0 0·4% 33·0% 4·0% 0 0 0 0

Argentina 0·8% (0·3–1·2) 326 (144–490) 20·3% 38·1% 0 0·8% 21·7% 17·8% 1·3% 0 0 0
Chile 0·3% (0·2–0·5) 57 (31–94) 7·9% 72·7% 0 0 2·0% 16·5% 0·6% 0·3% 0·1% 0

Brazil 0·9% (0·6–0·9) 1787 (1293–1896) 31·0% 33·4% 0 0·4% 4·6% 30·2% 0·2% 0·1% 0 0

Algeria 1·0% (0·3–1·7) 388 (140–674) 1·4% 86·2% 0 1·2% 8·5% 0·9% 1·2% 0·2% 0 0·5%
Bahrain 1·2% (0·8–1·3) 17 (11–18) 14·1% 21·1% 0 1·6% 3·9% 15·6% 25·0% 0 0 18·8%
Egypt 6·3% (4·5–6·7) 5625 (4007–6044) 0 4·0% 0 6·0% 0 0 90·0% 0 0 0
Iran 0·2% (0·2–0·3) 199 (129–226) 39·7% 12·1% 0 1·3% 1·4% 27·7% 0·9% 0 0 16·9%
Iraq 0·2% (0·2–0·3) 85 (60–97) 1·4% 12·9% 0 0 0 17·1% 52·9% 0 0 15·7%
Jordan 0·3% (0·1–0·4) 25 (11–29) 23·1% 19·2% 0 0 0 0 57·7% 0 0 0
Kuwait · · · · 0 0 0 15·0% 2·5% 2·5% 80·0% 0 0 0
Lebanon 0·2% (0·1–0·4) 8 (3–18) 6·6% 40·4% 0 0 3·7% 14·1% 33·8% 1·4% 0·1% 0
Libya 0·7% (0·5–0·7) 42 (32–43) 4·2% 6·4% 0 6·9% 7·0% 7·4% 14·6% 0 0 53·5%
Morocco 0·8% (0·5–0·9) 263 (190–328) 6·5% 40·3% 0 0 41·6% 1·0% 0·6% 0·1% 0 10·0%
Oman 0·4% (0·3–0·4) 16 (12–18) 5·5% 30·0% 0 10·1% 2·1% 32·6% 16·5% 0 0 3·2%
Occupied-Palestinian-territory · · · · 18·5% 9·8% 0 0 0 0 64·1% 0 0 7·6%
Qatar 1·6% (1·3–1·8) 38 (30–40) 1·9% 10·7% 0 3·6% 0·9% 10·3% 72·4% 0·1% 0 0
Saudi-Arabia 0·3% (0·2–0·9) 105 (79–189) 0 0 0 38·6% 3·6% 5·2% 52·6% 0 0 0
Syria 3·0% (1·3–3·5) 554 (245–653) 3·4% 18·8% 0 6·3% 0·8% 1·8% 59·0% 10·0% 0 0
Tunisia 0·9% (0·2–1·1) 108 (25–123) 5·1% 76·6% 0 0 5·1% 3·7% 7·3% 0 0 2·2%
Turkey 0·6% (0·3–1·0) 492 (271–763) 12·9% 80·4% 0 0 1·5% 3·7% 1·5% 0 0 0
United-Arab-Emirates 1·3% (0·5–1·6) 131 (50–159) 5·4% 9·4% 0 25·6% 2·2% 35·0% 22·0% 0 0 0
Yemen 0·8% (0·5–0·9) 211 (143–258) ·· ·· ·· ·· ·· ·· ·· ·· ·· ··

Canada 0·6% (0·4–0·7) 212 (136–246) 36·5% 21·5% 0 6·1% 14·1% 20·2% 0·3% 0 0 1·3%
Puerto-Rico 1·0% (0·6–1·6) 36 (23–60) 39·8% 27·1% 0 15·2% 12·1% 3·8% 1·8% 0 0·2% 0
USA 0·9% (0·7–1·2) 2936 (2231–3826) 46·2% 26·3% 0 0 10·7% 8·9% 6·3% .. 1·1% 0·5%

Fiji 0·1% (0·0–0·3) 1 (0·2–3) ·· ·· ·· ·· ·· ·· ·· ·· ·· ··
Papua-New-Guinea 1·2% (0·9–4·2) 94 (70–328) ·· ·· ·· ·· ·· ·· ·· ·· ·· ··
Samoa 0·1% (0·1–0·2) 0·2 (0·1–0·4) ·· ·· ·· ·· ·· ·· ·· ·· ·· ··

Central-African-Republic 0·3% (0·2–0·4) 16 (11–18) 0 0 0 0 8·6% 8·6% 82·8% 0 0 0
DR-Congo · · · · 0 0 0 0 3·2% 0 96·8% 0 0 0
Equatorial-Guinea · · · · 0 0 0 35·0% 1·7% 3·3% 60·0% 0 0 0
Gabon 7·0% (5·1–7·3) 124 (90–129) 0 0 0 5·8% 2·2% 0 92·0% 0 0 0

Burundi 1·0% (0·8–4·0) 120 (93–459) 5·6% 0 0 0 0 1·7% 92·7% 0 0 0
Ethiopia 0·6% (0·4–0·7) 647 (410–726) 8·8% 2·7% 0 2·0% 13·5% 9·5% 60·0% 0 0 3·5%
Kenya 0·2% (0·1–0·3) 115 (42–126) 10·0% 0 0 0 90·0% 0 0 0 0 0
Madagascar 0·2% (0·2–0·3) 56 (39–81) 0 52·9% 0 0 47·1% 0 0 0 0 0
Mozambique · · · · 27·8% 22·2% 0 0 0 22·2% 0 27·8% 0 0

South-Africa 0·7% (0·4–0·9) 356 (227–441) 2·3% 22·1% 0 7·1% 1·2% 12·6% 12·4% 35·7% 0 6·7%

Burkina-Faso 1·3% (1·0–1·4) 247 (189–256) 3·1% 9·4% 0 0 56·3% 15·6% 3·1% 0 0 12·5%
Cameroon 0·7% (0·5–0·8) 164 (117–184) 0 0 0 40·0% 20·0% 0 40·0% 0 0 0
Chad 1·1% (0·8–1·3) 162 (111–184) 0 0 0 7·7% 7·7% 0 84·6% 0 0 0
The-Gambia 0·8% (0·5–1·3) 17 (10–27) 0 0 0 19·4% 58·1% 6·5% 0 0 0 16·1%
Ghana 1·4% (1·1–3·4) 399 (305–944) 0·1% 0·2% 0 12·8% 87·0% 0 0 0 0 0
Guinea-Bissau · · · · 0 0 0 1·8% 98·2% 0 0 0 0 0
Nigeria 1·4% (1·0–1·4) 2553 (1902–2651) 0 0 0 82·3% 5·9% 7·4% 4·4% 0 0 0
